State,District,Pollster,Sample,Type,Date,GOP,Dem,538 Grade,Mean-Reverted Bias,Grade,Adjusted R,Adjusted D,Adjusted Gap,DistrictName,
GA,12,Landmark Communications,500,LV,11/2/2014,47.3,45.7,B,1.3775806,3,47.9887903,45.0112097,2.9775806,GA12_2014,
GA,12,Landmark Communications,500,LV,10/30/2014,48.1,44.4,B,1.3775806,3,48.7887903,43.7112097,5.0775806,GA12_2014,
IL,12,We Ask America,909,LV,10/1/2014,45,40,C,-0.91666667,2,44.54166667,40.45833334,4.08333333,IL12_2014,
HI,1,Ward Research (Honolulu Star-Advertiser),354,LV,10/18/2014,47,47,B+,-0.5525,3.3,46.72375,47.27625,-0.5525,HI01_2014,
HI,1,Marketing Resource Group (MRG),604,LV,10/19/2014,45,45,C+,-0.27121212,2.3,44.86439394,45.13560606,-0.27121212,HI01_2014,
HI,1,Marketing Resource Group (MRG),551,LV,9/14/2014,46,42,C+,-0.27121212,2.3,45.86439394,42.13560606,3.72878788,HI01_2014,
NY,1,Siena College,670,LV,10/29/2014,50,45,A,0.4,4,50.2,44.8,5.4,NY01_2014,
NY,1,Siena College,592,LV,9/11/2014,41,51,A,0.4,4,41.2,50.8,-9.6,NY01_2014,
AZ,2,RRH Elections,554,LV,10/23/2014,46,48,B-,0.04162162,2.7,46.02081081,47.97918919,-1.95837838,AZ02_2014,
IL,10,We Ask America,919,LV,9/30/2014,44,46,C,-0.91666667,2,43.54166667,46.45833334,-2.91666667,IL10_2014,
IA,1,Loras College,282,LV,10/24/2014,44,42,B-,1.38,2.7,44.69,41.31,3.38,IA01_2014,
IA,1,Loras College,300,LV,9/5/2014,33,35,B-,1.38,2.7,33.69,34.31,-0.62,IA01_2014,
ME,2,Maine People's Resource Center,397,LV,11/2/2014,42.9,42,C,0.32945946,2,43.06472973,41.83527027,1.22945946,ME02_2014,
ME,2,Pan Atlantic SMS Group,186,LV,10/21/2014,37.7,38.9,B+,0.91711111,3.3,38.15855556,38.44144445,-0.28288889,ME02_2014,
ME,2,Portland Press Herald,291,LV,10/21/2014,41,40,C,0,2,41,40,1,ME02_2014,
ME,2,Critical Insights,295,LV,9/30/2014,41,36,C,0.298,2,41.149,35.851,5.298,ME02_2014,
ME,2,Pan Atlantic SMS Group,201,LV,9/24/2014,32.7,36.2,B+,0.91711111,3.3,33.15855556,35.74144445,-2.58288889,ME02_2014,
ME,2,Portland Press Herald,220,LV,9/25/2014,40,30,C,0,2,40,30,10,ME02_2014,
ME,2,Portland Press Herald,222,LV,6/18/2014,39,44,C,0,2,39,44,-5,ME02_2014,
ME,1,Maine People's Resource Center,419,LV,11/2/2014,30.4,55.7,C,0.32945946,2,30.56472973,55.53527027,-24.97054054,ME01_2014,
ME,1,Pan Atlantic SMS Group,214,LV,10/21/2014,18.3,62,B+,0.91711111,3.3,18.75855556,61.54144445,-42.78288889,ME01_2014,
ME,1,Pan Atlantic SMS Group,199,LV,9/24/2014,8.7,51.4,B+,0.91711111,3.3,9.158555555,50.94144445,-41.78288889,ME01_2014,
NH,1,University of New Hampshire,405,LV,11/2/2014,47,47,B,2.71688,3,48.35844,45.64156,2.71688,NH01_2014,
NH,1,University of New Hampshire,261,LV,10/26/2014,40,44,B,2.71688,3,41.35844,42.64156,-1.28312,NH01_2014,
NH,1,University of New Hampshire,258,LV,10/5/2014,39,42,B,2.71688,3,40.35844,40.64156,-0.28312,NH01_2014,
NH,1,University of New Hampshire,297,LV,8/14/2014,45,41,B,2.71688,3,46.35844,39.64156,6.71688,NH01_2014,
NH,1,University of New Hampshire,263,LV,7/14/2014,47,43,B,2.71688,3,48.35844,41.64156,6.71688,NH01_2014,
NH,1,University of New Hampshire,199,LV,4/14/2014,35,44,B,2.71688,3,36.35844,42.64156,-6.28312,NH01_2014,
NH,1,University of New Hampshire,245,LV,1/14/2014,45,39,B,2.71688,3,46.35844,37.64156,8.71688,NH01_2014,
NH,1,University of New Hampshire,258,LV,8/13/2014,32,48,B,2.71688,3,33.35844,46.64156,-13.28312,NH01_2014,
NH,2,University of New Hampshire,352,LV,11/2/2014,38,49,B,2.71688,3,39.35844,47.64156,-8.28312,NH02_2014,
NH,2,University of New Hampshire,294,LV,10/26/2014,30,53,B,2.71688,3,31.35844,51.64156,-20.28312,NH02_2014,
NH,2,University of New Hampshire,275,LV,10/5/2014,41,37,B,2.71688,3,42.35844,35.64156,6.71688,NH02_2014,
NH,2,University of New Hampshire,312,LV,8/14/2014,36,39,B,2.71688,3,37.35844,37.64156,-0.28312,NH02_2014,
NH,2,University of New Hampshire,246,LV,7/14/2014,36,50,B,2.71688,3,37.35844,48.64156,-11.28312,NH02_2014,
NH,2,University of New Hampshire,184,LV,4/14/2014,33,34,B,2.71688,3,34.35844,32.64156,1.71688,NH02_2014,
NH,2,University of New Hampshire,218,LV,1/14/2014,30,36,B,2.71688,3,31.35844,34.64156,-3.28312,NH02_2014,
NH,1,New England College,778,LV,11/1/2014,52.2,42.9,B,-0.618,3,51.891,43.209,8.682,NH01_2014,
NH,2,New England College,748,LV,11/1/2014,41.7,52.8,B,-0.618,3,41.391,53.109,-11.718,NH02_2014,
NH,1,New England College,556,LV,10/24/2014,49,42.9,B,-0.618,3,48.691,43.209,5.482,NH01_2014,
NH,2,New England College,576,LV,10/24/2014,42,49.2,B,-0.618,3,41.691,49.509,-7.818,NH02_2014,
NH,1,New England College,461,LV,10/16/2014,47.4,45.7,B,-0.618,3,47.091,46.009,1.082,NH01_2014,
NH,2,New England College,460,LV,10/16/2014,43.2,48.7,B,-0.618,3,42.891,49.009,-6.118,NH02_2014,
NH,1,New England College,536,LV,10/9/2014,46.3,43.5,B,-0.618,3,45.991,43.809,2.182,NH01_2014,
NH,2,New England College,545,LV,10/9/2014,42.5,46.1,B,-0.618,3,42.191,46.409,-4.218,NH02_2014,
NH,1,New England College,626,LV,10/3/2014,44.2,46.7,B,-0.618,3,43.891,47.009,-3.118,NH01_2014,
NH,2,New England College,660,LV,10/3/2014,38.1,50.1,B,-0.618,3,37.791,50.409,-12.618,NH02_2014,
NH,1,New England College,629,LV,9/26/2014,50.8,40.5,B,-0.618,3,50.491,40.809,9.682,NH01_2014,
NH,2,New England College,702,LV,9/26/2014,39,50.1,B,-0.618,3,38.691,50.409,-11.718,NH02_2014,
NH,1,New England College,715,LV,9/20/2014,45.2,45.2,B,-0.618,3,44.891,45.509,-0.618,NH01_2014,
NH,2,New England College,779,LV,9/20/2014,38.1,48.9,B,-0.618,3,37.791,49.209,-11.418,NH02_2014,
NY,11,Siena College,713,LV,10/28/2014,53,34,A,0.4,4,53.2,33.8,19.4,NY11_2014,
NY,11,Siena College,585,LV,9/14/2014,44,40,A,0.4,4,44.2,39.8,4.4,NY11_2014,
AR,2,Hendrix College,605,LV,10/16/2014,42,46,B-,1.6890244,2.7,42.8445122,45.1554878,-2.3109756,AR02_2014,
AR,2,Hendrix College,483,LV,7/25/2014,44,43,B-,1.6890244,2.7,44.8445122,42.1554878,2.6890244,AR02_2014,
IL,11,We Ask America,918,LV,9/30/2014,44,47,C,-0.91666667,2,43.54166667,47.45833334,-3.91666667,IL11_2014,
IA,3,Loras College,280,LV,10/24/2014,46,44,B-,1.38,2.7,46.69,43.31,3.38,IA03_2014,
IA,3,Loras College,300,LV,9/5/2014,34,40,B-,1.38,2.7,34.69,39.31,-4.62,IA03_2014,
FL,26,Saint Leo University,400,LV,10/6/2014,46,42,C,0.89676471,1.7,46.44838236,41.55161765,4.89676471,FL26r_2014,
MN,8,SurveyUSA,555,LV,10/12/2014,47,39,A,0.2,4,47.1,38.9,8.2,MN08_2014,
AR,4,Hendrix College,607,LV,10/16/2014,44,42,B-,1.6890244,2.7,44.8445122,41.1554878,3.6890244,AR04_2014,
AR,4,Hendrix College,439,LV,7/25/2014,48,34,B-,1.6890244,2.7,48.8445122,33.1554878,15.6890244,AR04_2014,
CA,52,SurveyUSA,551,LV,10/30/2014,45,44,A,0.2,4,45.1,43.9,1.2,CA52_2014,
CA,52,SurveyUSA,608,LV,10/20/2014,46,45,A,0.2,4,46.1,44.9,1.2,CA52_2014,
CA,52,SurveyUSA,542,LV,10/6/2014,48,45,A,0.2,4,48.1,44.9,3.2,CA52_2014,
CA,52,SurveyUSA,559,LV,9/15/2014,46,47,A,0.2,4,46.1,46.9,-0.8,CA52_2014,
CA,52,SurveyUSA,554,LV,6/12/2014,51,44,A,0.2,4,51.1,43.9,7.2,CA52_2014,
IL,13,We Ask America,932,LV,10/1/2014,51,38,C,-0.91666667,2,50.54166667,38.45833334,12.08333333,IL13_2014,
NY,21,Siena College,670,LV,10/22/2014,50,32,A,0.4,4,50.2,31.8,18.4,NY21_2014,
NY,21,Harper Polling,674,LV,9/29/2014,45,37,B,0.10947368,3,45.05473684,36.94526316,8.10947368,NY21_2014,
NY,21,Siena College,591,LV,9/9/2014,46,33,A,0.4,4,46.2,32.8,13.4,NY21_2014,
CA,21,SurveyUSA,554,LV,10/20/2014,47,42,A,0.2,4,47.1,41.9,5.2,CA21_2014,
CA,21,SurveyUSA,439,LV,9/8/2014,56,37,A,0.2,4,56.1,36.9,19.2,CA21_2014,
NJ,3,Richard Stockton College,617,LV,10/28/2014,46,41,C,0,2,46,41,5,NJ03_2014,
NJ,3,Monmouth University,423,LV,10/13/2014,51,41,A+,0.2,4,51.1,40.9,10.2,NJ03_2014,
NJ,3,Richard Stockton College,606,LV,9/14/2014,42,42,C,0,2,42,42,0,NJ03_2014,
MT,1,Montana State University Billings,410,LV,10/11/2014,40,33,B+,0.55918919,3.3,40.2795946,32.72040541,7.55918919,MT01_2014,
NY,19,Siena College,727,LV,10/24/2014,58,35,A,0.4,4,58.2,34.8,23.4,NY19_2014,
NY,19,Siena College,609,LV,9/9/2014,57,33,A,0.4,4,57.2,32.8,24.4,NY19_2014,
NJ,5,Monmouth University,427,LV,10/29/2014,53,42,A+,0.2,4,53.1,41.9,11.2,NJ05_2014,
